Response	Times Correct	Times Incorrect	Total Appearances
a=x=b-a	0	1	1
____=b(cx)+e	0	1	1
a+bx+e=____	0	1	1
____=\x	0	1	1
--x=____	0	1	1
a/-b=b	0	1	1
x+b=-d	1	0	1
____=-x+b-b+c	0	1	1
x+b=-a	0	1	1
a-b=-bx	0	1	1
a/a(bx-c)=____	1	0	1
a(x)=d=____	0	1	1
ax-ax=bx+c-ax	1	0	1
o=____	0	1	1
a=b+a+x	0	1	1
cx=b	0	1	1
a/b=b*b	0	1	1
a+bx=-d	0	1	1
cx=x	0	1	1
-x/-b=--/-b	0	1	1
ax/a=b/a.	0	1	1
____=bx+c-b	0	1	1
0x+c=bx-bx+c	0	1	1
____=b=c*x-c/a	0	1	1
ax+b-b=b	0	1	1
a=b+(c*x)-(c*c)	1	0	1
-x/-b=-b/-a	0	1	1
a(x)-a(e)=c=____	0	1	1
a=-b+cx-c/c	0	1	1
a-x-a=b+x-b	0	1	1
a-a+(-x)=b-a	1	0	1
x-b-a=____	0	1	1
x]=a	0	1	1
____=b(cx)b(-d)	0	1	1
-x.=-b	0	1	1
x=/b	0	1	1
a(bX)+a(-c)=a	0	1	1
b+b=b	0	1	1
ax=b-x+x	0	1	1
x+a-a=-a-b	0	1	1
a=b*x-b*c	1	0	1
a/-b=bx/	0	1	1
-b-=____	0	1	1
a=-e+cx-	0	1	1
a=0x	0	1	1
b/a=bx/b	0	1	1
a-e=e-e+b(cx-d)	1	0	1
a(b+x)=-c-d	1	0	1
a+bx-c=d	1	0	1
a-a-bx=____	1	0	1
a-x=x-x	0	1	1
ax/a=b-a	0	1	1
a+ax-a+b=-c-a	1	0	1
ax=b+-b	0	1	1
-a+bx+a=-c	0	1	1
____=d+cx	0	1	1
b+c=____	0	1	1
____=c+x	1	0	1
a+a-b=a	0	1	1
a(-b)+cx=____	0	1	1
a=b+(cx)-d	0	1	1
a*b+b*x+c=____	0	1	1
-x+-c=____	0	1	1
e=b+cx+d-d	0	1	1
ax=b-b=____	0	1	1
-x=bxa	0	1	1
d=ex	0	1	1
a=b=bx-c	0	1	1
____=-b+cX+c-d	0	1	1
____=b+c(x)-(d)	0	1	1
a+b-c=____	0	1	1
____=-a/x	0	1	1
-d+d=____	0	1	1
b/d=____	0	1	1
a-b=c-x	0	1	1
(-a+bx)-a=____	0	1	1
a+b*-c+b*x=d	1	0	1
x+x+a=b-x	0	1	1
a-b=b-cx-b	1	0	1
a*bx=c	0	1	1
e(x)=(-a)=____	0	1	1
b+b=____	0	1	1
____=-b+cx+d	0	1	1
a+b(bx)-b(a)=____	1	0	1
ax-ax=ax+bx+c	0	1	1
ax+-b=d-c	1	0	1
a=b(x)	0	1	1
c=bx+c-c	1	0	1
____=bx/x	0	1	1
c=d+ax-a	1	0	1
ax-ax=ax-bx-c	0	1	1
a/b=b/b/x	0	1	1
ax_c=bx+c-c	0	1	1
a+b+(-d)=____	0	1	1
ax-c-ax=bx-ax	1	0	1
____=b/-x	0	1	1
x+0-a=____	0	1	1
a=bx=____	0	1	1
ax=cx/a	0	1	1
d=-b+cx+b	1	0	1
a+-b=b-b+x	1	0	1
--cx=____	0	1	1
____=(bx+c)-c	1	0	1
____=x=b	0	1	1
a-b=0+x	0	1	1
cx=+c	0	1	1
ax-c-b=____	0	1	1
c.d=____	0	1	1
ax+c=bx+c-c	0	1	1
a*bx+a*-b=____	1	0	1
____=life	0	1	1
ax+c-c=e	0	1	1
ax-e-c=d-c	0	1	1
a+b=b-b+cx	1	0	1
ax-x=x-x+c	0	1	1
c+-x=____	0	1	1
____=bx+bx-c	0	1	1
a=b+c*d-d*c	0	1	1
____=bx\b	0	1	1
a(-b+dx)=____	0	1	1
ax+b-b=-c_b	0	1	1
a*-bx=c	0	1	1
-x+-x=____	0	1	1
=-c=____	0	1	1
a=e+b*cx+b*-d	1	0	1
-d=bx	0	1	1
x+-c=-c	0	1	1
a=fx-g=e	0	1	1
a=b+c(c-c)	0	1	1
a=a-a+b	0	1	1
a=a-a+a	0	1	1
-x/-b=-x/-b	0	1	1
a-b=-x+b+b	0	1	1
-a-bx+bx=____	1	0	1
a-=b+x-b	0	1	1
a\-b=____	0	1	1
a(x)-+a(-e)=____	0	1	1
ax=-c+b	1	0	1
____=c-	0	1	1
____=a-x+x	1	0	1
____=bx+c-c.	0	1	1
-a/=____	0	1	1
0=-b	0	1	1
0=-c	0	1	1
0=-a	0	1	1
-x/-b=-x/-c	0	1	1
a-a*x=____	0	1	1
-a/a=a/ax	1	0	1
a+bx+d=c\	0	1	1
a=a*-bx/c	0	1	1
-ax-b=____	0	1	1
a=a*-bx/a	0	1	1
-a+b=x	0	1	1
0/x=____	0	1	1
b+bx=-c-a	1	0	1
a-c=bx=c-c	0	1	1
a(bx-c)=a	0	1	1
____=bx-d+d	0	1	1
a-b=bx=____	0	1	1
+a+b=____	0	1	1
-x/-c=-d	0	1	1
a=b*c+x*b	1	0	1
a+bx=d+b	0	1	1
____=cx-b+b	1	0	1
a=b+c*x-c*d	1	0	1
d(bx)+b(-=____	0	1	1
-d+a(x)=c	1	0	1
a+b=-b+cx-c	0	1	1
a-b=x+a-a	0	1	1
x-b=-b	0	1	1
x-b=-a	0	1	1
-b=x]	0	1	1
a+e=____	0	1	1
-x-c=____	0	1	1
a-ax-b=____	0	1	1
a+b+bx=____	1	0	1
____=--c	0	1	1
____=b(bx+c)	0	1	1
(dx)+(-d)=c	0	1	1
dx-e=a+e	0	1	1
b=-b	0	1	1
ax-b+d=c+b	0	1	1
a-b=-x+b	0	1	1
axd=____	0	1	1
-a--a+ax=____	1	0	1
-a+a+ax=x	0	1	1
____=b+c(x-d)-b	1	0	1
dx0=e-0=____	0	1	1
-a+a+ax=c	0	1	1
--a=____	0	1	1
____=c.c	0	1	1
____=c.d	0	1	1
a/a(x-b)=a?a	0	1	1
b-b=x	0	1	1
____=ax-c+c	0	1	1
ax-c=d=-b	1	0	1
ax+b-cx=cx-cx	0	1	1
c-a(x-b)+c=____	0	1	1
x=_a	0	1	1
d+(bx)-a=c	0	1	1
____=-b+c(X-d)	0	1	1
e=bx=d	0	1	1
-a/-a=0	0	1	1
ax/a=b/s	0	1	1
____=-b+c(X)+c(-d)	0	1	1
a=bx-c(c	0	1	1
a+x+c=-d	0	1	1
x-x+a=c	0	1	1
b+x=-a	0	1	1
-c/-a=-x/-b	0	1	1
a=b+cx+e	0	1	1
a=b+cx+d	0	1	1
bx+c-c=o-c	0	1	1
bx-ax=____	0	1	1
ax+cx-b=____	0	1	1
-a+a-x=b+-a	1	0	1
+a-a=0-a	0	1	1
a-b=a-b-x	0	1	1
a*-b+ex=____	0	1	1
a-b=(b+x)-b	1	0	1
what=-x	0	1	1
-a/-ax=____	0	1	1
-a=-xb	0	1	1
ax+-b=e	0	1	1
a-x+a=b-a	0	1	1
-e(cx)=d	0	1	1
ax-b+b+c=____	1	0	1
-x=x=____	0	1	1
a+x=b-b-x	0	1	1
a(-b+cx)-/a=____	0	1	1
a+ax+c=d	0	1	1
a(-b+bx)=____	0	1	1
b-b(bx-a)=____	0	1	1
d+a(x)=____	0	1	1
dx+-b=____	0	1	1
-x/-=____	0	1	1
-a--a+ax=b--a	1	0	1
-a=x=____	0	1	1
-e.f=____	0	1	1
b=a-a+x	0	1	1
____=-d+-e	0	1	1
a-b=cx-d	1	0	1
(ax+b)-b=____	1	0	1
x=bx-a-bx	0	1	1
a-b-x=-c	0	1	1
-a+a+bx+c=____	1	0	1
ax/d=____	0	1	1
-c=-x+b-b	1	0	1
-ex+c=d	1	0	1
a+b(-c)+bx=d	1	0	1
a+bx+-d=____	0	1	1
a-a-x=b-b-x	0	1	1
0x=c	0	1	1
-c=-c	0	1	1
e(x)b(-a)=____	0	1	1
a=bx/b	0	1	1
d(bx)-d(a)=c	0	1	1
o-x=-c	0	1	1
0=cx-c	1	0	1
a\=bx+-b+b	0	1	1
(ax+b)=d	1	0	1
x-a+a=x=0	0	1	1
a+x=a-x	0	1	1
b+ax-d=c	1	0	1
a(x-e)=____	1	0	1
-ax=d	1	0	1
-x=d	0	1	1
d=(cx-____	0	1	1
a/-x=a	0	1	1
-x*-x=____	0	1	1
-x=x	0	1	1
a+-xa-a=____	0	1	1
____=-b+x	0	1	1
a=x-bx	0	1	1
____=-b+b	0	1	1
a=b-x+x	0	1	1
c+ax(b)=____	0	1	1
a+x=b=b	0	1	1
b+-a=____	0	1	1
d=-x	0	1	1
b-c=c-x-c	1	0	1
-b+b+bx=____	0	1	1
bx+ax=-c	0	1	1
ax+bx+b=____	0	1	1
ax+bx=bx	0	1	1
(a(-b+x)-c)+c=-d+c	1	0	1
____=b-	0	1	1
____=b/	0	1	1
x+a=a+x=____	0	1	1
____=x/-a	0	1	1
a=d+cx	0	1	1
a+b(x)=b(-c)=____	0	1	1
____=c-c-x	0	1	1
ax(a)+b(a)=____	1	0	1
-ex+c=____	1	0	1
0x+-e=____	0	1	1
a-b=b+cx-d-b	1	0	1
a*b+a*x+c=____	1	0	1
a+a+x=____	0	1	1
a=b*bx+b*c	1	0	1
d/d(ax-b)=d/d	1	0	1
a+c+bx=____	0	1	1
ax=b-(-a)	1	0	1
cx+b=-d	0	1	1
a-e=fx-g+e-e	0	1	1
____=wwwww	0	1	1
cx-a=dx	0	1	1
dx-e+e=____	0	1	1
a-c+b=____	0	1	1
-x--bx+a=____	1	0	1
c+ax-e=d-e	0	1	1
b+-b-x=____	0	1	1
ax+(-c)=____	1	0	1
ax-ax=bx	0	1	1
a(bx)+=____	0	1	1
a+b(x)=b(a)=c	0	1	1
____=-b=x	0	1	1
a(-b+=____	0	1	1
b=cx+c-d	1	0	1
____=b/bx-c+c	0	1	1
\=____	0	1	1
ax+b-ax=cx-b	0	1	1
____=bx=-b	0	1	1
-c+ax+a(b)=____	0	1	1
a+bx-bx=____	1	0	1
a=cx*c	0	1	1
____=RT"	0	1	1
d=-b+cx-c+b	1	0	1
x=0+x	0	1	1
____=cx-c-b	1	0	1
a=ex+f-d	0	1	1
a(x)+(e)+c=____	0	1	1
____=b(X)+b(c)	0	1	1
a-(-c)=bx	1	0	1
d+(bx)-=c	0	1	1
x-b=b	1	0	1
-a=/-bc	0	1	1
a=bx-b(-c)	0	1	1
____=c/b	0	1	1
a+bx=c+b	1	0	1
a-b=b-cx=b	0	1	1
____=+d	0	1	1
a-d=bx-c+d-d	1	0	1
a-a+bx=a-c	0	1	1
c(dx)=____	0	1	1
c+(x)+a(b)=____	0	1	1
x+e=-d	0	1	1
a(ax+b)/a=c/a	1	0	1
a+dx=____	0	1	1
a(-b+x)/a=c/a	1	0	1
-x-a-a=b-a	0	1	1
_x=____	0	1	1
a=a*x-c/a	0	1	1
d+a[-b+x]=c-d	0	1	1
ax-bx=bx-c+bx	0	1	1
ax-0=____	0	1	1
a=bx+	0	1	1
a+b=-b+cx	0	1	1
ex-a=____	1	0	1
____=c+ax-a	0	1	1
-b/a=-x/-b	0	1	1
a=-d+ex	0	1	1
ax-bx=bx-b	0	1	1
ax-bx=bx-c	0	1	1
a=bx-+b(-c)	0	1	1
e(x)=____	0	1	1
(x+a)-a=b-a	1	0	1
ax-b+c+b-c=____	0	1	1
a=b+(cx)+c(-c)	1	0	1
a=a+cx	0	1	1
a=b+fx+-g	1	0	1
a=b+fx+(-g)	1	0	1
____=c/d	0	1	1
ax-cx=cx+b-cx	1	0	1
a+d=bx-c+c	0	1	1
cx-a-a=b-b-cx	0	1	1
-(-)=____	0	1	1
0=a/-0	0	1	1
ax-c=bx-c+c	1	0	1
a=d+c(x)+c(-c)	1	0	1
ax+b-ax=cx+b-ax	0	1	1
d=bx+c	1	0	1
bx/c=____	0	1	1
____=b+fx+-g	1	0	1
a+c=bx+(-c)+c	1	0	1
b=b-b=x	0	1	1
a/-b=-a/c	0	1	1
d+bx-d=____	0	1	1
a-a=c	0	1	1
a-x-a=a-b	0	1	1
a+b=x	0	1	1
c+-bx=____	0	1	1
a-b=b+c(x-d)-b	1	0	1
d(x)a(b)=____	0	1	1
____=cx*c-c	0	1	1
a/-b=x=a	0	1	1
b/bx=____	0	1	1
a+b=d	0	1	1
-c=-x-b	0	1	1
a+b=b	0	1	1
a-a=b+x-b	0	1	1
____=(bx+c)/b	0	1	1
____=cx--b	0	1	1
purple=____	0	1	1
a(-b)+a(x)=-c	1	0	1
x+a=b-x	0	1	1
ax/-ax=____	0	1	1
-x+a-a=b+-a	1	0	1
____=b(c)+b(x)	1	0	1
-x/-ax=____	0	1	1
b(-c+x=b	0	1	1
a=b*x+b*-c	1	0	1
-b=-b+b-x	0	1	1
-c+d(x)+d(-a)=-e	1	0	1
a=cx-c	1	0	1
ax=cx+-b+b	0	1	1
x=b=b	0	1	1
-0=____	0	1	1
a*b/b=____	0	1	1
-x=b+-a	1	0	1
d(bx)+b=c	0	1	1
____=bx^b	0	1	1
____=bx+c-ax	1	0	1
0=bx=d	0	1	1
a(x)+a(-e)+=____	0	1	1
a=ex+d	0	1	1
do=____	0	1	1
____=bx+-b+b	1	0	1
b=b-b+a	0	1	1
-x*b=____	0	1	1
a=b+x=b	0	1	1
____=-b+bx	0	1	1
-x/c=d	0	1	1
a+b=cx+b	0	1	1
ax-cx=cx	1	0	1
____=-c+bx+c	0	1	1
____=bx+b+-b	1	0	1
a-a+b(-c+x)=d-a	1	0	1
xc+a(x)+a(b)=-d	0	1	1
-a/a=ax	1	0	1
b+x+b=b-x	0	1	1
____=ax-bx	0	1	1
a=b(cx)+b(-c)	0	1	1
ax+dq=____	0	1	1
a-z=____	0	1	1
+b=-x	0	1	1
ax-b+b=-x	0	1	1
a=b+c(x)-c(e)	1	0	1
a/a=a(x-a)/a	1	0	1
a~-b=____	0	1	1
-a+ax--a=a--a	1	0	1
xz+a=____	0	1	1
-a+bx=e	0	1	1
a=e=cx	0	1	1
ax+a(-b)=a/a	0	1	1
cx=bx-d-bx	1	0	1
-a+a+bx+c=e	1	0	1
a=-cx	1	0	1
____=a*-b	0	1	1
a-b=b-b=0	0	1	1
a+a+bx=____	0	1	1
a=b*x+c*b	1	0	1
____=b-b+c(x-d)	1	0	1
b(bx)+b(d)=____	1	0	1
x=-a+b	0	1	1
a+-b=b-x-b	1	0	1
ax+b-ax=cx-dx	0	1	1
____=dx+c-c	0	1	1
a(x+b=-e	0	1	1
bx(x+a)=____	0	1	1
____=b*x-b*c	1	0	1
c+-a+ax=d	1	0	1
x+a=0-a	0	1	1
a(bx-b)/a=d	1	0	1
____=a+x-a	1	0	1
ax-a+b=____	0	1	1
(-b+x)=a	1	0	1
a+-a=x	0	1	1
a=f+cx-d	0	1	1
c=0+X	0	1	1
b--c=-x	0	1	1
____=cx+a	0	1	1
____=cx+c	0	1	1
____=cx+d	0	1	1
____=cx+e	1	0	1
a+b*bx+b*-a=c	1	0	1
a+-b=b*-b	0	1	1
a+bx-c+c=e	1	0	1
cx/c=bx+d-bx	0	1	1
____=(x+b)-b	1	0	1
-a+ax+c=____	0	1	1
____=b=cx	0	1	1
a-b=(x+b)-b	1	0	1
____=-xx-a	0	1	1
x/-ax=____	0	1	1
d(bx)=c	0	1	1
a+b=-c-bx	1	0	1
-x=b+-a=-b	0	1	1
x=a-	0	1	1
d=-b+b=cx	0	1	1
ax+a(-e)=d	0	1	1
-b+b+ax=-c	0	1	1
a-c=-bx	0	1	1
a=-d+c(x)-c(-e)	0	1	1
a-a+x=b	0	1	1
-x-a-a=c	0	1	1
a=b+fX-g	0	1	1
dx+d=____	0	1	1
c-ax=____	0	1	1
a=e+b(cx)+x(-d)	0	1	1
a*x+a*-b+c=-d	1	0	1
x=-ll	0	1	1
bx-e=____	0	1	1
b-c+a=-d	0	1	1
-x-a=-a	0	1	1
bx=bx-bx+c	1	0	1
-b=cx=ax	0	1	1
s=____	0	1	1
a/a(x-b)=____	1	0	1
____=(x+b)	0	1	1
a(ax)+a(b)=d	0	1	1
a(x-b)=c	0	1	1
a--b=-b+cx--b	1	0	1
-x/-c=d	0	1	1
(x-b)=0-a	0	1	1
e+bx=d-e	0	1	1
x+a-x=cx-x	1	0	1
____=b*c*x-b*d+e-e	0	1	1
____=b(x)b*-c	0	1	1
b/-c=____	0	1	1
____=-d+b(cx)+b(c)-d	0	1	1
____=-cx	1	0	1
a-b=x-b+b	0	1	1
a=bx-f+e	1	0	1
____=dxc	0	1	1
ex+-f=____	0	1	1
a=b(c)+b(x)	1	0	1
a=b/b(cx-d)+e	0	1	1
a-e=b(cx-d)+e-e	1	0	1
-b=cx+d	1	0	1
c+bx=____	0	1	1
a=d(x-d)/d	0	1	1
a=a-a+c	0	1	1
a(x)=d	0	1	1
a-a+bx-c=____	1	0	1
a=b(bx)+b	1	0	1
a*-b+a*x-c=____	1	0	1
c(dx)+c(-e)=c	1	0	1
-x=____	0	1	1
-d+dx=e	0	1	1
-ex-c=-d	0	1	1
c=a(x)=a(-b)=____	0	1	1
____=-b+c*x-d	0	1	1
-ax=-b-a	1	0	1
c+b(x)=____	0	1	1
-a--a=____	0	1	1
ax/a=-c	0	1	1
ax/a=/-	0	1	1
a(x+e=____	0	1	1
____=-bx/-bx	0	1	1
a=f(dx-e)+b	0	1	1
ax-cx-b=cx-cx	1	0	1
-x+bx=d	0	1	1
____=-bx/bx	0	1	1
a-b+bx-a=____	1	0	1
a-a+bx=c-a=____	0	1	1
a/x-e=____	0	1	1
a/-=____	0	1	1
a-bx=c-x	0	1	1
-b=ax+cx	0	1	1
-e=bx=____	0	1	1
a=x-d)	0	1	1
____=bx-b-c	0	1	1
a=b-cx-d	0	1	1
____=b(x)-b(c)	1	0	1
____=-b+cx-c*-d	0	1	1
a*ax+a=c	1	0	1
a+b+bx=-d	1	0	1
-e-cx=-d	0	1	1
a=xb+x	0	1	1
ax+-a+b=____	0	1	1
a-(-b)=cx	1	0	1
a-b=bx+b-c-b	1	0	1
ax=cx+b-b	0	1	1
ax-b=c	0	1	1
ax-b=a	0	1	1
cx-ax+b=dx	0	1	1
-e=(cx-d)	1	0	1
____=-.c	0	1	1
a=b*cx+c-d	0	1	1
-a=cx-d	1	0	1
ax-ax-b=cx-b	0	1	1
a-b=b-b+c(x-d)	1	0	1
a+b=-b+b-cx	0	1	1
a(b)+a(-b)=c	0	1	1
a\=____	0	1	1
-a=c-bx	1	0	1
-c=X	0	1	1
(ax-b+b)=____	1	0	1
b=d	0	1	1
dx=e	0	1	1
a=cx/c	0	1	1
-e=b+cx-d-b	1	0	1
____=b+c(x)-c(e)	1	0	1
ax+b+a=____	0	1	1
____=cx+b+-b	1	0	1
ax=b-c	0	1	1
ax=b-b	0	1	1
a+b=c=____	0	1	1
x+a-=____	0	1	1
a=b+b+x	0	1	1
a=b(cx)+b(c)-d	1	0	1
____=-ax/-b	0	1	1
a=bx-x+x	0	1	1
b+x=a=b	0	1	1
a+x+-a=____	0	1	1
cx+a-cx=dx-cx	1	0	1
c=-x-0	0	1	1
____=b*x+b*-c	1	0	1
____=c(x)=c(-d)	0	1	1
b-b=0=____	0	1	1
a(x)-a(e)+c=d]	0	1	1
x++b=____	0	1	1
x=-a/-x	0	1	1
a+b=b+x-b	0	1	1
ax-bx+b=bx-bx+c	1	0	1
c=c(x-c	0	1	1
-x/-b=a/-a	0	1	1
-x/-b=-a-b	0	1	1
a+b=bx+-b-b	0	1	1
c=-x-c	0	1	1
c=b-b	0	1	1
a=bx+=____	0	1	1
ax-b=+b=____	0	1	1
-d=-cx	1	0	1
____=b+-b+cx	1	0	1
a=d(x)=+(-c)	0	1	1
0/ax=____	0	1	1
c=b-x	0	1	1
x=+a	0	1	1
x=+c	0	1	1
xd=____	0	1	1
ax+a=c+a	0	1	1
-x+a+a=b-a	0	1	1
-bx=-a	0	1	1
a/d=____	0	1	1
-ax/ax=____	0	1	1
a=b+b*x	1	0	1
0/-ax=____	0	1	1
a=b+fx-e	1	0	1
-a+a+bx=-c+bx	0	1	1
____=b+cx)+c(-c)	0	1	1
ax/ax-b=____	0	1	1
a-c=(bx+c)-c	1	0	1
-a+x+a=b+a	1	0	1
a=b+cx+d-d	0	1	1
a(-b+x)+c=____	0	1	1
a/-b=x=b	0	1	1
a=cx(b)+b(c)-d	1	0	1
____=x/-bx	0	1	1
a=b+c=d	0	1	1
a+b-x=b	0	1	1
a=a-x+x	0	1	1
a=b(x)-b(-c)	0	1	1
X=b	0	1	1
a=-e=cx	0	1	1
a=a*-bx	0	1	1
a=bx-c+d	1	0	1
____=(x+c)	1	0	1
-d+b=cx	0	1	1
ax/a=ax	0	1	1
____=a-x	0	1	1
a=x+0	0	1	1
a+-x=____	0	1	1
d=-c-b	0	1	1
e=-bx	0	1	1
a=b+cx-d-b	0	1	1
____=ax-b-x	1	0	1
(a(-b+x)-c)=c=____	0	1	1
a=a*-cx/a	0	1	1
a=-c-bx	1	0	1
____=cx+cx+d	0	1	1
ax+bx+c=____	0	1	1
a-c-x=____	0	1	1
a=-xc	0	1	1
c(-a+x)-d)/c=____	0	1	1
-c=-x*-d	0	1	1
a+x-x=a-x	1	0	1
a/b=b/b+x	0	1	1
ax=bx=d	0	1	1
c-x=____	0	1	1
a=b*c+b+x	0	1	1
ax-b+b=ax-d	0	1	1
+=____	0	1	1
ax-b=cx-0	0	1	1
____=b+cx+-e	1	0	1
e+cx=____	0	1	1
a/-b=a	0	1	1
x-a+a=a+0	0	1	1
a=bx+b*c	1	0	1
a+bx+b*-c=d	1	0	1
a+c=bx-c+d+c	1	0	1
ax-ax=bx+c	0	1	1
-a+x=b	0	1	1
-x/-b=-a/.-b	0	1	1
a/a(ax-b)=c/a	1	0	1
a=-dx	1	0	1
x=a=0-a	0	1	1
a[x+-b]=c-d	0	1	1
a/x=a	0	1	1
-c+a(x)+a(-b=____	0	1	1
dx+(-a)+b=c	1	0	1
a-b=c+x	0	1	1
____=-d-e	0	1	1
-e+-ax-c=-d	0	1	1
a=dx+e	0	1	1
bx-a=a=____	0	1	1
+ax=____	0	1	1
-a=b-a	0	1	1
-a+a+bx=d	1	0	1
-b+b+ax=-c+b	1	0	1
ax--e=____	0	1	1
____=b+c(x)=c(-c)	0	1	1
a/a(bx-c)=a/a	1	0	1
a(x)+a(b)=-c	1	0	1
-c=-X	0	1	1
b=c-ax	1	0	1
b-a=a-a-x	1	0	1
____=bx+-c-c	0	1	1
a=fx-g+	0	1	1
____=bx-c+d-d	1	0	1
ex+b=____	0	1	1
____=-b+dx	0	1	1
-b-c=-x	0	1	1
a=c(cx)+c(d)	1	0	1
a(x)+e+c=____	0	1	1
ihatethis=____	0	1	1
-c=-d	0	1	1
a(-bx)-c=____	0	1	1
____=b(cx-d)/b	1	0	1
____=-b+(ex)+(e)	0	1	1
a*-b+a*x-c=-d	1	0	1
-x/-b=x	0	1	1
-b--b+ax=a--b	1	0	1
a=b+cx+c*-c	1	0	1
d(x-a)=____	0	1	1
-x=+a	0	1	1
-a+--a+bx=____	0	1	1
ax/a=a/b	0	1	1
b=ax-cx	0	1	1
c+ax-e=d-c	0	1	1
x+a_a=____	0	1	1
b-a=a+(-a)	0	1	1
a-a+b(-c+x)=____	1	0	1
x+a-a=-x	0	1	1
0=-dx+c	1	0	1
ax+-ax=bx-c	1	0	1
____=x*-x	0	1	1
-b=dx	0	1	1
a=-b+c(dx)+c(-e)-b	0	1	1
d=d	0	1	1
____=b+c/cx	0	1	1
-a=-	0	1	1
a+b=bx+b	0	1	1
-x=-x=____	0	1	1
____=-b+c*x	0	1	1
____=b/bx	1	0	1
x(/a)=____	0	1	1
a+-b+b=____	0	1	1
-ax-a=____	0	1	1
ax-c-ax=____	1	0	1
a=b*c+bx	1	0	1
a+b(x)+b(a)=c]	0	1	1
ax-c/b=bx+c	1	0	1
a-a+bx+c-a=d	0	1	1
ax-bx=bx-b-c	0	1	1
a=cx-e+b	1	0	1
ax-bx=bx+c-b	0	1	1
bx+c=____	1	0	1
-x=b+x	0	1	1
-a+ax--a=____	1	0	1
0=ax+b	1	0	1
____=b(cx)b(-d)+e	0	1	1
-x=-a+b	1	0	1
-b/x=____	0	1	1
x=0...c	0	1	1
-a*-c=____	0	1	1
bx+(-a)=____	1	0	1
(-x)*(-b)=____	0	1	1
ax/-a=____	0	1	1
____=cx-a	0	1	1
x=b-c	0	1	1
x=b-b	0	1	1
x+a-x=bx+a-x	0	1	1
x=b-x	0	1	1
-a=b-ax	1	0	1
bx-c-c=____	0	1	1
-c=b-x	0	1	1
-a+a+bX=____	0	1	1
____=-	0	1	1
x=x/c	0	1	1
a(-b)==____	0	1	1
a-b=bx-b	0	1	1
a-b=bx-c	0	1	1
a-c=bX+c-c	0	1	1
-a\-b=____	0	1	1
____=-b/bx	0	1	1
axb+b=____	0	1	1
a*x-a*e=____	0	1	1
ax/a=b/	0	1	1
ax+b-c=-d	0	1	1
____=b+cx+d-d	1	0	1
(ax-b+b)=c+b	1	0	1
c+a(x)+a(-e)=d--ex\	0	1	1
x(a)-b(a)=-d	0	1	1
a+x=b-x	1	0	1
-a+ax=d+-a	0	1	1
a-b=-x=b	0	1	1
-b-x=____	0	1	1
a+c=bx-c+c+d	1	0	1
j=____	0	1	1
-c+d(x)+d(-a)=____	1	0	1
____=b+x-a	0	1	1
-c+a(-b)=____	0	1	1
+=-d=ex	0	1	1
c/a=____	0	1	1
x=b+x	0	1	1
a=a/a(cx-d)+e	0	1	1
d-b+b=____	0	1	1
b=(x-c)	1	0	1
a=b+c(x)-b+c(d)	0	1	1
-x=b-x	0	1	1
a=x+b-b	0	1	1
b=(x-c_	0	1	1
-a+a+bx=c=a	0	1	1
a+b*x+b*a=c*b	0	1	1
a+b*x+b*a=c*x	0	1	1
dX+=____	0	1	1
a/b=a/bx	0	1	1
ax-bx=bx-ax	0	1	1
+b-b(bx-a)=____	0	1	1
____=b*x-b	0	1	1
____=-x=b-b	0	1	1
x=cx	0	1	1
ax/a=b/ax	0	1	1
d=-c-bx	1	0	1
a-0=b+x-b	0	1	1
a+c=c	0	1	1
a--d=____	1	0	1
-c+a(x)+a(b)=____	0	1	1
ax=cx-ax	0	1	1
ax-b+b=x	0	1	1
f=____	0	1	1
a=-b+c(x-d)+b	0	1	1
____=-b+cx+(-b)	0	1	1
____=--c	0	1	1
c=b+b+0	0	1	1
ax-bx+b=____	1	0	1
a=-b-ax	1	0	1
imsorry=____	0	1	1
-a--a+bx=-c	0	1	1
-a+a+bx=-c+b	0	1	1
ax-b+b=bx-bx+c	0	1	1
a+x-x=ax	0	1	1
c(-d)+c(dx)=____	1	0	1
dx+-b=d	0	1	1
a+b*x+b*a=c*a	0	1	1
a(-e)=____	0	1	1
c(-d)+c(dx)=b	1	0	1
____=-c+bx	1	0	1
____=c+b	1	0	1
a+x-x=a	0	1	1
e(x)-c=____	0	1	1
x+b-a=____	0	1	1
a+dx+d=____	0	1	1
ax-b+c=____	1	0	1
-b=cxax	0	1	1
-x--=____	0	1	1
a/b-=____	0	1	1
____=sdvcsdcsdv	0	1	1
dx+a=e	0	1	1
=c=____	0	1	1
a=-b(cx-c)	0	1	1
a=b(c	0	1	1
a=a*x-c	0	1	1
a=b-b-cx	0	1	1
a=-dx+c	0	1	1
ax-b+b=c-b	1	0	1
ax=b+x-b	0	1	1
ax=cx-b+-b	0	1	1
0=a-0-x	0	1	1
____=b+c(x)+c(d)	0	1	1
-b=d	0	1	1
a=bx(c)+b(c)-d	1	0	1
d=(cx-c)	1	0	1
a+-c=____	0	1	1
x+d=____	0	1	1
d=-a+ex+e	1	0	1
x=o-a	0	1	1
a/b=b(c+x)/b	1	0	1
a-b=cx+b-b	1	0	1
____=b*c+x*b	1	0	1
ax-b+b=d	0	1	1
a+a=b=____	0	1	1
-a-c=bx-c+c	1	0	1
dx-b=c	1	0	1
shit=____	0	1	1
-c=b-b+x	1	0	1
d/d(aX-b)=____	0	1	1
